,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
4284,"Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",cytoplasm,RNA binding,PUF4,YGL014W
4285,"Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p",RNA polymerase I transcriptional preinitiation complex assembly at the promoter for the nuclear large rRNA transcript,nucleus,RNA polymerase I CORE element sequence-specific DNA binding,RRN11,YML043C
4286,Essential protein required for maturation of 18S rRNA; required for survival upon exposure to K1 killer toxin,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,molecular_function unknown,FYV7,YLR068W
4287,Putative boron transporter involved in boron efflux and resistance; overexpression mutant but not null mutant displays boron tolerance phenotype; identified as a heat-induced gene in a high-throughout screen; YMR279C is not an essential gene; paralog of the efflux pump ATR1,transport,plasma membrane,ammonium transmembrane transporter activity,YMR279C,YMR279C
4288,"One of three possible beta-subunits of the Snf1 kinase complex, allows nuclear localization of the Snf1 kinase complex in the presence of a nonfermentable carbon source; contains glycogen-binding domain",invasive growth in response to glucose limitation,nucleus,AMP-activated protein kinase activity,GAL83,YER027C
4289,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",biological_process unknown,cellular_component unknown,molecular_function unknown,YKR073C,YKR073C
4290,Putative protein of unknown function; YMR206W is not an essential gene,biological_process unknown,cellular_component unknown,molecular_function unknown,YMR206W,YMR206W
4291,Integral membrane protein localized to late Golgi vesicles along with the v-SNARE Tlg2p; required for asymmetric localization of Kar9p during mitosis; GFP-fusion protein localizes to the cytoplasm in a punctate pattern,mitotic spindle elongation,Golgi membrane,molecular_function unknown,TVP38,YKR088C
4292,"Subunit of the Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex, stimulated by SUMO-modified substrates; contains a RING domain and two SIMs (SUMO-interacting motifs); forms SUMO-dependent nuclear foci, including DNA repair centers",telomere maintenance,ubiquitin ligase complex,ubiquitin-protein transferase activity,SLX5,YDL013W
4293,"Protein involved in biosynthesis of the coenzyme lipoic acid, has similarity to E. coli lipoic acid synthase",lipoate biosynthetic process,mitochondrion,catalytic activity,LIP5,YOR196C
4294,"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk2p",MAPK cascade,cytoplasm,nucleotide binding,MKK1,YOR231W
4295,"Subunit H of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase",transport,"vacuolar proton-transporting V-type ATPase, V1 domain","hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",VMA13,YPR036W
4296,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",cristae formation,mitochondrion,molecular_function unknown,MIC26,YGR235C
4297,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",biological_process unknown,mitochondrion,molecular_function unknown,YEL067C,YEL067C
4298,GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2,spliceosomal tri-snRNP complex assembly,nucleus,nucleotide binding,SNU114,YKL173W
4299,"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Ap and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality",cytoplasmic translation,intracellular,structural constituent of ribosome,RPL31B,YLR406C
4300,"Protein involved in structural maintenance of chromosomes; essential subunit of Mms21-Smc5-Smc6 complex; required for growth, DNA repair, interchromosomal and sister chromatid recombination; homologous to S. pombe rad18",double-strand break repair via homologous recombination,nucleus,nucleotide binding,SMC6,YLR383W
4301,Lysyl-tRNA synthetase,translation,cytoplasm,nucleotide binding,KRS1,YDR037W
4302,"Subunit of the COMPASS (Set1C) complex, which methylates lysine 4 of histone H3 and is required in chromatin silencing at telomeres; contains a Dpy-30 domain that mediates interaction with Bre2p; similar to C. elegans and human DPY-30",chromatin silencing at telomere,"chromosome, telomeric region",histone methyltransferase activity (H3-K4 specific),SDC1,YDR469W
4303,"Putative integral membrane protein, involved in vesicle formation; forms complex with Mst28p; member of DUP240 gene family; binds COPI and COPII vesicles",transport,endoplasmic reticulum,molecular_function unknown,MST27,YGL051W
4304,Putative ATP-dependent permease of the ABC transporter family of proteins,transport,fungal-type vacuole,nucleotide binding,ADP1,YCR011C
4305,Cell wall-related secretory glycoprotein; induced by nutrient deprivation-associated growth arrest and upon entry into stationary phase; may be involved in adaptation prior to stationary phase entry; has similarity to Sps100p,cellular amino acid metabolic process,extracellular region,molecular_function unknown,YGP1,YNL160W
4306,"Mitochondrial porin (voltage-dependent anion channel), outer membrane protein required for the maintenance of mitochondrial osmotic stability and mitochondrial membrane permeability; phosphorylated",transport,cytoplasm,voltage-gated anion channel activity,POR1,YNL055C
4307,"Dolichol kinase, catalyzes the terminal step in dolichyl monophosphate (Dol-P) biosynthesis; required for viability and for normal rates of lipid intermediate synthesis and protein N-glycosylation",protein glycosylation,endoplasmic reticulum,dolichol kinase activity,SEC59,YMR013C
4308,Mitochondria-associated F-box protein involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box motif; preferentially localizes to the mother cell during budding,mitochondrion organization,mitochondrion,molecular_function unknown,MFB1,YDR219C
4309,"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A",protein peptidyl-prolyl isomerization,histone deacetylase complex,mRNA binding,CPR1,YDR155C
4310,"Putative ATP-dependent RNA helicase, nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway; sediments with 66S pre-ribosomes in sucrose gradients",ribosomal large subunit assembly,nucleus,nucleotide binding,SPB4,YFL002C
4311,"Protein involved in Arf3p regulation and in transcription regulation; localizes to the nucleus and to endocytic patches; contains an N-terminal Zn-finger and ArfGAP homology domain, a C-terminal glutamine-rich region, and a UBA (ubiquitin associated) domain; gts1 mutations affect budding, cell size, heat tolerance, sporulation, life span, ultradian rhythms, endocytosis; expression oscillates in a pattern similar to metabolic oscillations","transcription, DNA-templated",nucleus,"transcription factor activity, transcription factor binding",GTS1,YGL181W
4312,"Rho GTPase activating protein (RhoGAP), stimulates the intrinsic GTPase activity of Rho1p, which plays a role in actin cytoskeleton organization and control of cell wall synthesis; structurally and functionally related to Sac7p",signal transduction,cellular_component unknown,GTPase activator activity,BAG7,YOR134W
4313,"Component of the ESCRT-I complex (Stp22p, Srn2p, Vps28p, and Mvb12p), which is involved in ubiquitin-dependent sorting of proteins into the endosome; conserved C-terminal domain interacts with ESCRT-III subunit Vps20p",protein targeting to membrane,ESCRT I complex,protein complex binding,VPS28,YPL065W
4314,"Subunit of the signal recognition particle (SRP), which functions in protein targeting to the endoplasmic reticulum membrane; not found in mammalian SRP; forms a pre-SRP structure in the nucleolus that is translocated to the cytoplasm",SRP-dependent cotranslational protein targeting to membrane,nucleus,molecular_function unknown,SRP21,YKL122C
4315,"Subunit of the SWI/SNF chromatin remodeling complex, which regulates transcription by remodeling chromosomes; required for transcription of many genes, including ADH1, ADH2, GAL1, HO, INO1 and SUC2",carbon catabolite activation of transcription from RNA polymerase II promoter,nucleus,DNA binding,SWI3,YJL176C
4316,Protein that induces appearance of [PIN+] prion when overproduced,actin cytoskeleton organization,nucleus,molecular_function unknown,PIN3,YPR154W
4317,"Alkaline dihydroceramidase, involved in sphingolipid metabolism; preferentially hydrolyzes dihydroceramide to a free fatty acid and dihydrosphingosine; has a minor reverse activity",ceramide metabolic process,Golgi membrane,hydrolase activity,YDC1,YPL087W
4318,Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane,transport,mitochondrion,protein channel activity,TIM54,YJL054W
4319,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration",pyruvate metabolic process,cytoplasm,nucleotide binding,CDC19,YAL038W
4320,"Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules; has roles in astral microtubule formation and stabilization",mitotic spindle elongation,cytoplasm,structural constituent of cytoskeleton,SPC72,YAL047C
4321,Transverse filament protein of the synaptonemal complex; required for normal levels of meiotic recombination and pairing between homologous chromosome during meiosis; potential Cdc28p substrate,synapsis,"chromosome, centromeric region",chromatin binding,ZIP1,YDR285W
4322,"Protein with similarity to mammalian monocarboxylate permeases, which are involved in transport of monocarboxylic acids across the plasma membrane; mutant is not deficient in monocarboxylate transport",transport,fungal-type vacuole membrane,transporter activity,MCH4,YOL119C
4323,"Putative protein of unknown function; serine/threonine rich and highly similar to YOL155C, a putative glucan alpha-1,4-glucosidase; transcript is induced in both high and low pH environments; YIL169C is a non-essential gene",signal transduction,cellular_component unknown,molecular_function unknown,CSS1,YIL169C
